"","TIMESTAMP","D19_D","D28_W","D31_D","D33_D","D39_W","D4_W","D43_D","D7_D","D15_W","D25_W"
"42",2023-07-01 06:50:00,8146.53,8179.731,7234.224,6686.854,6955.748,7629.364,7431.042,7827.685,8644.557,9046.979
"43",2023-07-01 07:00:00,8146.53,8179.731,7234.18,6686.93,6955.555,7629.317,7430.997,7827.638,8644.557,9046.752
"44",2023-07-01 07:10:00,8146.53,8179.731,7234.202,6687.081,6956.022,7629.341,7431.017,7827.657,8644.557,9046.828
"45",2023-07-01 07:20:00,8146.53,8179.731,7234.181,6687.005,6955.781,7629.319,7430.999,7827.639,8644.557,9046.602
"46",2023-07-01 07:30:00,8144.794,8179.731,7234.292,6687.081,6955.663,7629.436,7431.112,7827.759,8644.557,9046.752
"47",2023-07-01 07:40:00,8143.511,8179.731,7234.136,6687.081,6956.123,7629.272,7430.962,7827.451,8644.557,9046.752
"48",2023-07-01 07:50:00,8143.511,8179.731,7234.236,6687.005,6956.06,7629.377,7431.056,7827.548,8644.557,9046.678
"49",2023-07-01 08:00:00,8143.662,8179.655,7234.155,6686.854,6955.827,7629.292,7430.966,7827.456,8643.425,9046.375
"50",2023-07-01 08:10:00,8143.963,8178.901,7234.249,6685.874,6955.923,7629.392,7431.069,7827.563,8643.198,9046.073
"51",2023-07-01 08:20:00,8143.737,8178.222,7233.588,6685.647,6956.168,7629.174,7430.931,7825.614,8642.896,9045.998
"52",2023-07-01 08:30:00,8144.114,8177.09,7233.044,6685.647,6955.801,7628.845,7430.778,7824.402,8641.614,9045.998
"53",2023-07-01 08:40:00,8144.039,8176.712,7232.349,6685.647,6955.69,7628.22,7430.585,7824.277,8641.539,9045.922
"54",2023-07-01 08:50:00,8143.586,8175.732,7232.272,6685.647,6955.552,7627.463,7429.241,7824.208,8641.539,9044.111
"55",2023-07-01 09:00:00,8143.435,8173.694,7232.255,6683.308,6955.749,7627.37,7427.108,7824.176,8639.124,9042.979
"56",2023-07-01 09:10:00,8141.926,8172.109,7230.646,6682.705,6955.717,7626.064,7424.374,7824.073,8637.087,9042.451
"57",2023-07-01 09:20:00,8138.53,8167.431,7227.606,6680.063,6955.596,7623.018,7419.813,7820.934,8633.691,9039.131
"58",2023-07-01 09:30:00,8137.474,8163.81,7225.69,6676.592,6955.643,7619.755,7414.46,7819.568,8630.295,9036.49
"59",2023-07-01 09:40:00,8134.606,8160.036,7224.225,6673.951,6955.312,7616.928,7411.037,7817.411,8626.748,9034.604
